cell_id,cluster_label,gene_000,gene_001,gene_002,gene_003,gene_004,gene_005,gene_006,gene_007,gene_008,gene_009,gene_010,gene_011,gene_012,gene_013,gene_014,gene_015,gene_016,gene_017,gene_018,gene_019
cell_000,0,0.8154975920577119,-4.984818818667505,-3.72273582879194,-3.6338755137427428,1.9105230118866445,2.0996036650424497,4.876590295003092,-4.145385124236808,-0.5716903797874532,-4.5676523107815115,-1.9458273612010832,0.7682370400241889,-4.515685650835329,-3.8203789358897646,2.2215526292709074,0.7542525083967682,-1.8140405398216568,0.8687315646141168,4.656785306365343,-5.2221134754768475
cell_001,1,4.332640849738514,2.0734891279680547,-2.0105100422164837,-4.347963300116101,4.451306280836742,-0.4953977279399848,-3.4194419689067383,-3.4817291402525576,1.5742456050016393,1.6060316773249421,3.515964661479675,1.857376839413917,-0.13962657839730974,4.729309278342841,0.1652447826025205,-0.32367424680558976,2.951802614740921,2.274625323922928,3.2601483635655724,0.48212027187886825
cell_002,2,2.1239394399801763,-5.534787664751934,-2.545060899364521,-3.073814441557836,-3.4939215824772094,-2.6695464781833067,-2.163240532424508,-1.995591558074251,2.449396034990201,-2.394289387673049,-1.3959018036486661,-2.6464131690738406,-0.9336450448120273,3.021813126708169,2.2728495963129935,1.5643932677226153,-2.061776561428526,2.8611763939664683,-3.3243181142975575,-1.6227653027580495
cell_003,3,3.896689732091777,1.5563358104633052,0.4161400225502135,3.4623563803624595,2.9396993395102182,3.016312591626538,-3.96472041609954,-4.995367623620566,-1.6365512153363018,-1.6634232302273686,-1.7316902146742545,4.393778602287129,2.8698803614779798,-1.486940872421989,1.9679763316798347,-0.6503543151227418,3.585245738065648,0.4952260439434988,-2.2808816062958632,-1.9738652256873768
cell_004,0,2.4135265766543954,-4.262474591320649,-2.020493993923391,-1.045656430431353,2.5596745744178446,1.5302234880114476,4.011369307114878,-2.9443967389561303,-0.6858118136378553,-4.286525681507927,-1.8570350996982357,-0.3567340071478399,-6.1158961185642795,-2.7720849713603624,1.682632213414407,-0.0369933368164852,-2.0987246747590995,1.3787107403467436,2.298310629498733,-4.520437648002428
cell_005,1,2.901308551206019,0.7949737337164438,-1.2351346483673065,-3.4813767032256973,3.9759044027159174,-1.2156980793563337,-3.682066948444618,-4.4948659788207985,3.7952254159023395,1.8493122626228664,2.50114942419524,2.6020298888594526,0.36448551493205283,6.543965888314413,-2.7044986045390145,1.07663345785744,3.0490506267049766,1.1050394845785945,5.138340184214388,0.7666629315589851
cell_006,2,3.838473325169689,-4.895474535774214,-2.440607610406044,-2.4987983653188417,-4.754630640858032,-2.6221046352284727,-4.2160429261819905,-2.0582707017099366,-0.3271778515353292,0.2502959405885221,-1.431787855856197,-1.5106052872979288,-3.135911480394049,4.600574440904355,4.012307533647444,0.39552671018485075,-4.484853336505642,1.8540603512341796,-2.9879843205226315,-0.6507735503744849
cell_007,3,5.9275268567830945,1.1943876798262765,-0.7123031698537794,1.4981186663186774,4.420697357739503,3.1325292379994814,-4.275070308658959,-4.707038770310148,-0.726935046351477,-0.6213527306826245,-2.440822253108913,4.676538993590146,2.771511730338106,-2.527815491189225,1.5919193389537325,-0.6411227967425344,4.609623250301246,-0.7940483182333204,-3.2727521177582877,-3.155950395940096
cell_008,0,0.46868846917102824,-4.235165101562136,-4.099531701145336,-3.034515038999367,2.7246148073210934,2.984605053961065,3.9788354170892317,-3.329584522094551,-1.0999850605721693,-5.297550994844969,-3.353134682713939,1.2754215065550896,-3.939263388043167,-2.6217051519634227,4.163059468644649,0.4235417080112468,-2.299314058769992,1.1387300808058967,2.9167960146789382,-3.082075325002176
cell_009,1,4.26347636075777,0.8618102421858249,-1.9173718926482537,-3.1025357711875547,5.198677294101449,-2.712812204724436,-5.876990835815963,-5.557929806674786,3.4180544928016223,0.9546977704371692,3.3474582336354133,1.6815780446349318,-0.6171092261778428,3.112721593730226,-0.9513063409185156,0.816449479522491,4.088441578814518,1.8178340740258467,3.4644965383582185,1.8529302227704088
